Dataset,Activation_Config,Branches,R2,MSE,MAE,Best_Config_For_Dataset,Expected_Best,Source,Parameters,Epochs_To_Target
sine_wave_efficiency,gabor_8,gabor,0.999975860118866,2.4139881134033203e-05,0.004913235302123562,,,efficiency,171.0,81.0
sine_wave_efficiency,fourier+relu_32,fourier+relu,0.999973475933075,2.6524066925048828e-05,0.005150152126398679,,,efficiency,3269.0,62.0
sine_wave_efficiency,relu_64x32,relu,0.9999710917472839,2.8908252716064453e-05,0.005376639537486631,,,efficiency,10053.0,84.0
sine_wave_efficiency,fourier+relu_16,fourier+relu,0.9999628067016602,3.719329833984375e-05,0.006098630857810936,,,efficiency,1125.0,75.0
sine_wave_efficiency,fourier_8,fourier,0.9999620914459229,3.790855407714844e-05,0.006156992291464107,,,efficiency,324.0,73.0
sine_wave_efficiency,fourier+relu_8,fourier+relu,0.9999593496322632,4.0650367736816406e-05,0.0063757640904299785,,,efficiency,437.0,78.0
sine_wave_efficiency,relu_64,relu,0.9999591112136841,4.088878631591797e-05,0.0063944340105999975,,,efficiency,4739.0,83.0
sine_wave_efficiency,relu_32x16,relu,0.9999514222145081,4.857778549194336e-05,0.0069697765740333,,,efficiency,2725.0,63.0
sine_wave_efficiency,relu_32,relu,0.9999205470085144,7.94529914855957e-05,0.008913640753676115,,,efficiency,1347.0,98.0
sine_wave_efficiency,relu_16,relu,0.9997305870056152,0.0002694129943847656,0.0164138049941129,,,efficiency,419.0,202.0
sine_wave_efficiency,relu_8,relu,0.9994466304779053,0.0005533695220947266,0.023523807559464656,,,efficiency,147.0,251.0
step_like,fourier_only,fourier,0.999948779741923,5.121987730187053e-05,0.007156806361909657,fourier_only,relu,basis_selection,,
step_like,polynomial,"legendre, chebyshev",0.9999380111694336,6.199091876624152e-05,0.007873431193973915,fourier_only,relu,basis_selection,,
step_like,relu_polynomial,"relu, legendre",0.9999248385429382,7.516960613429546e-05,0.008670040722758773,fourier_only,relu,basis_selection,,
step_like,relu_fourier,"relu, fourier",0.9999071955680847,9.279835285269655e-05,0.009633190170068093,fourier_only,relu,basis_selection,,
step_like,all,"relu, fourier, legendre, chebyshev, hermite, gabor",0.9998628894488016,0.0001371051300035712,0.01170918998067634,fourier_only,relu,basis_selection,,
step_like,relu_only,relu,0.9998075763384501,0.00019243503629695624,0.013872095598609326,fourier_only,relu,basis_selection,,
step_like,gabor_hermite,"gabor, hermite",0.9996781746546427,0.0003218259322845067,0.01793950758199641,fourier_only,relu,basis_selection,,
